incident_id,animal_category,incident_type,time_of_day,location_type,weather,has_bleeding,has_trapped,has_unconscious,near_highway,in_storm,response_time_min,distance_km,org_type,priority,rescue_success
35,wildlife,endangered,morning,urban,storm,0,0,0,0,1,103,6.98,blue_cross,critical,0
36,wildlife,other,night,highway,clear,0,0,0,1,0,19,4.22,wildlife_center,medium,1
37,bird,other,afternoon,water_body,rain,0,0,0,0,0,10,15.76,veterinary,low,1
38,cat,trapped,morning,forest,fog,0,1,0,0,0,84,37.6,wildlife_center,medium,0
39,cat,aggressive,morning,rural,storm,0,0,0,0,1,105,46.58,wildlife_center,low,0
40,dog,aggressive,morning,water_body,rain,0,0,0,0,0,30,40.92,firefighter,low,1
41,cat,trapped,morning,rural,fog,0,1,0,0,0,47,14.29,veterinary,medium,0
42,bird,endangered,night,highway,storm,0,0,0,1,1,8,6.21,blue_cross,critical,1
43,bird,injured,morning,highway,fog,0,0,1,1,0,60,30.51,veterinary,critical,1
44,other,trapped,evening,urban,fog,0,1,0,0,0,5,26.24,wildlife_center,medium,1
45,dog,endangered,evening,urban,storm,0,0,0,0,1,69,15.81,firefighter,critical,0
46,bird,other,afternoon,rural,fog,0,0,0,0,0,90,47.05,wildlife_center,low,0
47,bird,aggressive,morning,forest,storm,0,0,0,0,1,31,21.78,blue_cross,low,1
48,wildlife,trapped,night,rural,clear,0,1,0,0,0,41,26.01,blue_cross,critical,1
49,cat,endangered,afternoon,rural,rain,0,0,0,0,0,8,2.79,firefighter,medium,1
50,dog,aggressive,night,highway,rain,0,0,0,1,0,96,34.97,firefighter,medium,0
51,cat,injured,morning,water_body,rain,0,0,1,0,0,71,23.5,wildlife_center,medium,0
52,dog,aggressive,afternoon,water_body,storm,0,0,0,0,1,101,44.63,firefighter,low,0
53,other,aggressive,afternoon,water_body,fog,0,0,0,0,0,38,37.71,blue_cross,low,0
54,other,aggressive,afternoon,forest,fog,0,0,0,0,0,14,35.82,wildlife_center,low,1
55,bird,other,morning,rural,rain,0,0,0,0,0,34,19.46,wildlife_center,low,1
56,dog,aggressive,night,forest,fog,0,0,0,0,0,58,3.58,firefighter,low,1
57,other,injured,night,water_body,clear,1,0,0,0,0,54,42.75,firefighter,medium,1
58,other,other,afternoon,water_body,rain,0,0,0,0,0,39,22.07,veterinary,low,1
59,wildlife,trapped,night,rural,clear,0,1,0,0,0,55,29.8,veterinary,critical,1
60,wildlife,trapped,night,rural,clear,0,1,0,0,0,38,19.27,wildlife_center,critical,1
61,bird,aggressive,evening,water_body,storm,0,0,0,0,1,111,4.55,veterinary,low,0
62,dog,endangered,afternoon,urban,clear,0,0,0,0,0,101,2.04,wildlife_center,medium,1
63,dog,other,afternoon,rural,rain,0,0,0,0,0,65,33.64,wildlife_center,low,0
64,bird,endangered,afternoon,highway,clear,0,0,0,1,0,104,41.06,blue_cross,critical,0
65,dog,endangered,night,water_body,rain,0,0,0,0,0,14,29.81,wildlife_center,medium,1
66,bird,other,morning,highway,clear,0,0,0,1,0,49,26.87,blue_cross,medium,1
67,bird,injured,night,water_body,clear,1,0,0,0,0,119,41.52,wildlife_center,medium,0
68,other,endangered,night,water_body,fog,0,0,0,0,0,110,36.69,blue_cross,medium,0
69,cat,injured,evening,water_body,rain,1,0,0,0,0,90,19.26,veterinary,medium,1
70,bird,trapped,night,rural,storm,0,1,0,0,1,107,13.29,blue_cross,medium,0
71,bird,other,morning,highway,rain,0,0,0,1,0,15,12.45,firefighter,medium,1
72,cat,aggressive,night,water_body,clear,0,0,0,0,0,16,15.06,firefighter,low,1
73,bird,other,evening,water_body,storm,0,0,0,0,1,59,49.83,blue_cross,low,1
74,wildlife,endangered,evening,forest,rain,0,0,0,0,0,20,36.2,blue_cross,medium,1
75,other,trapped,afternoon,rural,fog,0,1,0,0,0,40,36.37,blue_cross,medium,0
76,cat,endangered,afternoon,forest,rain,0,0,0,0,0,43,1.2,wildlife_center,medium,1
77,dog,other,evening,rural,fog,0,0,0,0,0,18,43.7,blue_cross,low,1
78,wildlife,endangered,afternoon,urban,storm,0,0,0,0,1,115,24.15,veterinary,critical,0
79,dog,other,morning,rural,rain,0,0,0,0,0,108,28.36,blue_cross,low,1
80,cat,injured,night,highway,rain,1,0,0,1,0,61,15.22,firefighter,critical,1
81,other,injured,morning,rural,rain,0,0,0,0,0,35,9.1,veterinary,low,1
82,wildlife,aggressive,night,forest,clear,0,0,0,0,0,34,14.76,blue_cross,low,1
83,wildlife,injured,afternoon,forest,rain,1,0,0,0,0,87,7.87,blue_cross,critical,0
84,dog,injured,afternoon,forest,storm,1,0,0,0,1,43,35.14,blue_cross,critical,0
85,wildlife,aggressive,morning,highway,clear,0,0,0,1,0,118,21.89,blue_cross,medium,0
86,dog,injured,afternoon,highway,clear,1,0,0,1,0,39,29.02,wildlife_center,critical,1
87,wildlife,endangered,afternoon,highway,fog,0,0,0,1,0,86,40.81,veterinary,critical,0
88,wildlife,endangered,evening,urban,rain,0,0,0,0,0,47,20.88,firefighter,medium,1
89,wildlife,other,morning,water_body,clear,0,0,0,0,0,45,12.99,veterinary,low,0
90,wildlife,other,morning,highway,fog,0,0,0,1,0,57,3.18,blue_cross,medium,1
91,wildlife,aggressive,morning,rural,storm,0,0,0,0,1,75,6.99,blue_cross,low,1
92,wildlife,injured,morning,highway,rain,1,0,0,1,0,6,27.84,veterinary,critical,1
93,dog,aggressive,morning,rural,fog,0,0,0,0,0,96,14.95,blue_cross,low,1
94,wildlife,aggressive,afternoon,water_body,rain,0,0,0,0,0,54,9.94,wildlife_center,low,1
95,bird,aggressive,evening,highway,storm,0,0,0,1,1,110,0.63,blue_cross,medium,0
96,other,aggressive,afternoon,water_body,fog,0,0,0,0,0,49,16.96,firefighter,low,1
97,bird,trapped,afternoon,highway,fog,0,1,0,1,0,34,42.87,firefighter,critical,1
98,wildlife,aggressive,night,rural,fog,0,0,0,0,0,9,6.75,blue_cross,low,1
99,wildlife,injured,night,urban,rain,1,0,0,0,0,24,4.2,blue_cross,critical,1
100,wildlife,injured,evening,highway,fog,1,0,0,1,0,118,38.09,veterinary,critical,0
101,cat,endangered,afternoon,urban,fog,0,0,0,0,0,17,38.14,veterinary,medium,1
102,bird,injured,morning,forest,clear,0,0,0,0,0,23,12.59,firefighter,low,1
103,cat,trapped,afternoon,urban,fog,0,1,0,0,0,84,34.32,firefighter,medium,0
104,cat,trapped,night,forest,fog,0,1,0,0,0,37,33.51,firefighter,medium,0
105,other,trapped,morning,water_body,storm,0,1,0,0,1,80,15.31,firefighter,medium,0
106,wildlife,endangered,afternoon,water_body,fog,0,0,0,0,0,18,12.24,blue_cross,medium,1
107,bird,injured,night,forest,clear,1,0,0,0,0,100,48.69,firefighter,medium,0
108,bird,trapped,evening,rural,rain,0,1,0,0,0,84,12.91,wildlife_center,medium,0
109,dog,endangered,night,urban,storm,0,0,0,0,1,98,7.0,blue_cross,critical,0
110,wildlife,trapped,afternoon,rural,storm,0,1,0,0,1,72,25.34,blue_cross,critical,0
111,bird,aggressive,evening,forest,clear,0,0,0,0,0,64,48.16,wildlife_center,low,0
112,cat,aggressive,evening,urban,fog,0,0,0,0,0,6,13.59,veterinary,low,1
113,bird,other,night,forest,clear,0,0,0,0,0,91,12.07,veterinary,low,0
114,other,endangered,afternoon,urban,fog,0,0,0,0,0,94,15.46,firefighter,medium,1
115,dog,injured,evening,water_body,clear,0,0,1,0,0,22,19.74,blue_cross,medium,1
116,other,aggressive,afternoon,water_body,clear,0,0,0,0,0,111,24.72,firefighter,low,0
117,bird,injured,evening,rural,fog,1,0,0,0,0,51,5.42,blue_cross,medium,1
118,bird,injured,night,forest,rain,1,0,1,0,0,110,23.01,wildlife_center,critical,0
119,other,injured,morning,forest,rain,1,0,1,0,0,31,3.9,wildlife_center,critical,1
120,cat,endangered,afternoon,highway,clear,0,0,0,1,0,40,42.99,wildlife_center,critical,0
121,other,endangered,afternoon,urban,clear,0,0,0,0,0,21,1.24,wildlife_center,medium,1
122,dog,trapped,evening,urban,rain,0,1,0,0,0,99,21.34,veterinary,medium,0
123,wildlife,aggressive,evening,highway,clear,0,0,0,1,0,62,25.44,veterinary,medium,0
124,other,endangered,night,urban,clear,0,0,0,0,0,66,42.44,firefighter,medium,0
125,wildlife,aggressive,morning,urban,storm,0,0,0,0,1,82,7.84,wildlife_center,low,1
126,other,other,evening,water_body,storm,0,0,0,0,1,63,25.52,firefighter,low,1
127,dog,other,afternoon,water_body,fog,0,0,0,0,0,118,11.81,blue_cross,low,0
128,wildlife,aggressive,morning,forest,fog,0,0,0,0,0,45,33.42,blue_cross,low,0
129,wildlife,injured,morning,urban,clear,1,0,1,0,0,52,40.68,veterinary,critical,0
130,other,other,evening,urban,fog,0,0,0,0,0,50,43.74,firefighter,low,0
131,dog,endangered,evening,forest,clear,0,0,0,0,0,78,25.62,wildlife_center,medium,0
132,cat,injured,evening,highway,storm,0,0,0,1,1,33,40.46,veterinary,medium,0
133,bird,injured,afternoon,forest,storm,1,0,0,0,1,28,43.56,firefighter,critical,1
134,dog,injured,afternoon,water_body,fog,1,0,0,0,0,44,36.22,veterinary,medium,0
135,cat,trapped,morning,urban,storm,0,1,0,0,1,61,33.27,firefighter,medium,0
136,wildlife,endangered,afternoon,highway,clear,0,0,0,1,0,49,21.78,blue_cross,critical,0
137,other,aggressive,evening,urban,rain,0,0,0,0,0,55,49.23,veterinary,low,1
138,bird,trapped,afternoon,forest,storm,0,1,0,0,1,46,6.44,firefighter,medium,0
139,cat,trapped,night,highway,rain,0,1,0,1,0,69,28.16,blue_cross,critical,1
140,dog,aggressive,morning,water_body,clear,0,0,0,0,0,115,16.0,firefighter,low,0
141,wildlife,endangered,morning,water_body,clear,0,0,0,0,0,46,9.01,firefighter,medium,0
142,bird,injured,night,urban,rain,1,0,0,0,0,15,20.09,blue_cross,medium,1
143,cat,endangered,afternoon,urban,clear,0,0,0,0,0,72,25.74,blue_cross,medium,1
144,cat,trapped,morning,rural,storm,0,1,0,0,1,30,9.09,wildlife_center,medium,0
145,dog,trapped,night,water_body,fog,0,1,0,0,0,92,46.25,blue_cross,medium,0
146,bird,trapped,night,urban,fog,0,1,0,0,0,61,31.75,blue_cross,medium,0
147,bird,other,morning,forest,fog,0,0,0,0,0,62,2.36,blue_cross,low,0
148,dog,injured,night,water_body,clear,1,0,1,0,0,88,9.82,firefighter,critical,0
149,dog,aggressive,morning,forest,clear,0,0,0,0,0,69,32.48,veterinary,low,1
150,wildlife,aggressive,afternoon,forest,storm,0,0,0,0,1,41,19.68,blue_cross,low,1
151,dog,endangered,morning,forest,clear,0,0,0,0,0,76,34.08,blue_cross,medium,1
152,other,trapped,evening,urban,rain,0,1,0,0,0,49,15.86,firefighter,medium,1
153,dog,endangered,night,forest,rain,0,0,0,0,0,90,35.29,veterinary,medium,0
154,wildlife,other,evening,urban,storm,0,0,0,0,1,44,9.42,wildlife_center,low,1
155,wildlife,trapped,afternoon,rural,rain,0,1,0,0,0,14,15.14,veterinary,critical,1
156,other,other,morning,forest,rain,0,0,0,0,0,81,19.15,wildlife_center,low,1
157,other,trapped,night,urban,fog,0,1,0,0,0,51,33.98,wildlife_center,medium,0
158,other,endangered,night,rural,rain,0,0,0,0,0,44,48.3,firefighter,medium,0
159,cat,endangered,night,water_body,storm,0,0,0,0,1,104,19.4,firefighter,critical,0
160,cat,other,afternoon,forest,clear,0,0,0,0,0,87,24.29,blue_cross,low,1
161,dog,other,morning,forest,clear,0,0,0,0,0,102,8.44,firefighter,low,0
162,cat,aggressive,morning,rural,fog,0,0,0,0,0,118,17.8,veterinary,low,1
163,wildlife,other,evening,rural,fog,0,0,0,0,0,15,19.06,veterinary,low,1
164,dog,endangered,afternoon,rural,clear,0,0,0,0,0,41,45.91,firefighter,medium,0
165,cat,aggressive,night,highway,clear,0,0,0,1,0,120,4.42,blue_cross,medium,1
166,cat,other,night,urban,storm,0,0,0,0,1,35,15.41,veterinary,low,1
167,other,aggressive,morning,urban,fog,0,0,0,0,0,81,27.03,wildlife_center,low,0
168,bird,aggressive,morning,highway,storm,0,0,0,1,1,35,28.75,wildlife_center,medium,1
169,dog,other,evening,urban,clear,0,0,0,0,0,54,43.73,veterinary,low,1
170,bird,endangered,morning,forest,clear,0,0,0,0,0,49,12.44,veterinary,medium,1
171,bird,trapped,morning,forest,storm,0,1,0,0,1,109,32.32,firefighter,medium,0
172,wildlife,trapped,afternoon,urban,fog,0,1,0,0,0,9,15.03,veterinary,critical,1
173,dog,endangered,evening,highway,fog,0,0,0,1,0,109,27.38,blue_cross,critical,1
174,cat,endangered,evening,urban,storm,0,0,0,0,1,39,6.66,blue_cross,critical,1
175,wildlife,aggressive,night,forest,rain,0,0,0,0,0,68,34.76,blue_cross,low,0
176,other,endangered,morning,water_body,clear,0,0,0,0,0,60,30.32,wildlife_center,medium,1
177,bird,injured,morning,forest,storm,0,0,0,0,1,59,8.75,firefighter,low,1
178,dog,endangered,night,forest,clear,0,0,0,0,0,14,33.72,firefighter,medium,1
179,cat,injured,afternoon,highway,fog,0,0,0,1,0,104,32.44,blue_cross,medium,0
180,other,injured,afternoon,water_body,storm,0,0,1,0,1,78,7.32,blue_cross,critical,0
181,bird,trapped,morning,urban,rain,0,1,0,0,0,68,26.13,veterinary,medium,1
182,bird,aggressive,afternoon,highway,storm,0,0,0,1,1,93,45.87,firefighter,medium,0
183,cat,injured,night,rural,fog,1,0,1,0,0,113,49.34,blue_cross,critical,0
184,other,other,evening,forest,rain,0,0,0,0,0,96,35.62,wildlife_center,low,0
185,other,trapped,morning,rural,rain,0,1,0,0,0,35,39.62,veterinary,medium,1
186,other,endangered,night,highway,rain,0,0,0,1,0,83,44.27,veterinary,critical,0
187,wildlife,other,night,water_body,clear,0,0,0,0,0,21,48.63,veterinary,low,1
188,other,endangered,afternoon,highway,rain,0,0,0,1,0,103,48.33,firefighter,critical,0
189,dog,injured,afternoon,forest,rain,0,0,1,0,0,33,17.63,blue_cross,medium,1
190,bird,trapped,evening,rural,storm,0,1,0,0,1,83,26.91,wildlife_center,medium,0
191,other,trapped,afternoon,highway,storm,0,1,0,1,1,112,46.23,veterinary,critical,0
192,dog,injured,morning,highway,storm,1,0,1,1,1,58,31.1,veterinary,critical,0
193,other,endangered,evening,water_body,rain,0,0,0,0,0,108,40.46,firefighter,medium,0
194,dog,injured,afternoon,water_body,fog,1,0,0,0,0,82,7.61,blue_cross,medium,0
195,bird,aggressive,afternoon,forest,clear,0,0,0,0,0,45,12.47,veterinary,low,1
196,cat,trapped,morning,urban,storm,0,1,0,0,1,54,43.28,firefighter,medium,1
197,cat,endangered,evening,rural,rain,0,0,0,0,0,68,49.8,firefighter,medium,0
198,bird,aggressive,morning,urban,fog,0,0,0,0,0,69,23.13,wildlife_center,low,1
199,bird,injured,morning,forest,fog,1,0,1,0,0,91,23.79,veterinary,critical,0
200,wildlife,trapped,evening,forest,fog,0,1,0,0,0,51,2.74,veterinary,critical,1
201,cat,endangered,evening,urban,fog,0,0,0,0,0,69,22.79,blue_cross,medium,0
202,other,other,morning,rural,clear,0,0,0,0,0,55,18.97,blue_cross,low,1
203,bird,trapped,afternoon,highway,fog,0,1,0,1,0,69,2.49,veterinary,critical,1
204,bird,aggressive,night,rural,rain,0,0,0,0,0,46,46.6,blue_cross,low,1
205,other,endangered,evening,highway,fog,0,0,0,1,0,95,28.36,firefighter,critical,0
206,bird,endangered,morning,water_body,storm,0,0,0,0,1,106,44.99,veterinary,critical,0
207,bird,other,afternoon,urban,fog,0,0,0,0,0,26,26.45,firefighter,low,1
208,cat,injured,morning,rural,clear,1,0,0,0,0,57,34.68,firefighter,medium,1
209,other,aggressive,morning,rural,rain,0,0,0,0,0,76,16.59,firefighter,low,1
210,bird,trapped,night,highway,storm,0,1,0,1,1,74,18.04,blue_cross,critical,0
211,cat,trapped,evening,highway,storm,0,1,0,1,1,33,47.1,blue_cross,critical,0
212,cat,aggressive,evening,water_body,storm,0,0,0,0,1,76,46.72,blue_cross,low,0
213,other,other,night,water_body,storm,0,0,0,0,1,103,40.33,blue_cross,low,1
214,dog,endangered,night,forest,fog,0,0,0,0,0,32,10.5,blue_cross,medium,0
215,bird,trapped,morning,highway,rain,0,1,0,1,0,36,3.01,wildlife_center,critical,1
216,dog,injured,night,forest,fog,0,0,1,0,0,5,48.24,wildlife_center,critical,1
217,wildlife,aggressive,afternoon,forest,storm,0,0,0,0,1,41,32.47,veterinary,low,0
218,cat,other,morning,rural,fog,0,0,0,0,0,117,41.96,veterinary,low,0
219,wildlife,aggressive,afternoon,forest,clear,0,0,0,0,0,6,15.27,veterinary,low,1
220,bird,endangered,night,highway,fog,0,0,0,1,0,118,46.96,firefighter,critical,0
221,dog,endangered,afternoon,water_body,storm,0,0,0,0,1,96,9.72,blue_cross,critical,0
222,other,trapped,afternoon,highway,fog,0,1,0,1,0,110,21.67,blue_cross,critical,1
223,dog,trapped,afternoon,water_body,storm,0,1,0,0,1,36,0.84,firefighter,medium,1
224,bird,endangered,evening,highway,clear,0,0,0,1,0,38,32.86,wildlife_center,critical,1
225,dog,aggressive,evening,rural,fog,0,0,0,0,0,92,25.37,blue_cross,low,0
226,bird,endangered,afternoon,rural,rain,0,0,0,0,0,66,8.08,blue_cross,medium,1
227,other,aggressive,afternoon,rural,clear,0,0,0,0,0,72,22.61,blue_cross,low,1
228,other,injured,morning,highway,rain,1,0,0,1,0,46,42.8,firefighter,critical,1
229,cat,other,night,urban,fog,0,0,0,0,0,108,3.25,wildlife_center,low,0
230,wildlife,other,morning,highway,fog,0,0,0,1,0,91,40.44,veterinary,medium,0
231,dog,trapped,morning,urban,fog,0,1,0,0,0,49,35.17,veterinary,medium,0
232,dog,aggressive,morning,forest,fog,0,0,0,0,0,28,38.56,firefighter,low,1
233,wildlife,aggressive,night,water_body,clear,0,0,0,0,0,92,48.23,wildlife_center,low,0
234,bird,injured,afternoon,highway,fog,1,0,1,1,0,33,41.82,veterinary,critical,0
235,wildlife,other,night,highway,fog,0,0,0,1,0,110,11.87,firefighter,medium,1
236,bird,trapped,morning,urban,fog,0,1,0,0,0,83,38.42,veterinary,medium,1
237,dog,injured,morning,water_body,clear,0,0,0,0,0,61,12.1,wildlife_center,low,0
238,dog,trapped,evening,rural,storm,0,1,0,0,1,78,30.1,blue_cross,medium,1
239,cat,other,afternoon,water_body,storm,0,0,0,0,1,40,3.52,wildlife_center,low,1
240,wildlife,other,night,urban,storm,0,0,0,0,1,87,33.73,blue_cross,low,0
241,wildlife,trapped,evening,water_body,rain,0,1,0,0,0,101,27.13,wildlife_center,critical,0
242,bird,trapped,night,urban,fog,0,1,0,0,0,58,28.09,wildlife_center,medium,1
243,bird,trapped,evening,urban,fog,0,1,0,0,0,113,18.87,wildlife_center,medium,1
244,wildlife,other,morning,urban,rain,0,0,0,0,0,107,38.2,wildlife_center,low,0
245,bird,endangered,morning,rural,rain,0,0,0,0,0,99,6.31,firefighter,medium,0
246,other,trapped,night,rural,storm,0,1,0,0,1,104,14.51,firefighter,medium,0
247,bird,endangered,evening,forest,fog,0,0,0,0,0,64,5.38,firefighter,medium,0
248,bird,trapped,evening,forest,fog,0,1,0,0,0,10,28.34,wildlife_center,medium,1
249,dog,endangered,night,forest,rain,0,0,0,0,0,30,16.83,firefighter,medium,1
250,cat,aggressive,evening,forest,fog,0,0,0,0,0,97,32.26,firefighter,low,0
251,bird,trapped,afternoon,highway,fog,0,1,0,1,0,28,45.89,veterinary,critical,1
252,dog,injured,morning,water_body,rain,1,0,0,0,0,95,7.98,wildlife_center,medium,0
253,bird,injured,night,water_body,clear,0,0,0,0,0,6,1.33,blue_cross,low,1
254,bird,injured,night,rural,clear,1,0,0,0,0,35,10.0,blue_cross,medium,1
255,bird,aggressive,morning,forest,fog,0,0,0,0,0,63,28.47,wildlife_center,low,1
256,dog,injured,morning,water_body,fog,0,0,0,0,0,86,0.97,wildlife_center,low,1
257,wildlife,endangered,morning,highway,clear,0,0,0,1,0,34,10.97,firefighter,critical,1
258,dog,endangered,morning,rural,storm,0,0,0,0,1,7,48.09,wildlife_center,critical,0
259,wildlife,injured,evening,rural,rain,1,0,1,0,0,91,44.88,blue_cross,critical,0
260,cat,injured,evening,urban,clear,1,0,1,0,0,48,30.46,firefighter,critical,0
261,bird,injured,evening,water_body,fog,0,0,0,0,0,53,21.88,firefighter,low,1
262,other,endangered,afternoon,urban,clear,0,0,0,0,0,39,8.13,wildlife_center,medium,1
263,bird,endangered,morning,urban,clear,0,0,0,0,0,44,22.51,blue_cross,medium,1
264,dog,trapped,night,water_body,fog,0,1,0,0,0,18,1.8,blue_cross,medium,1
265,other,other,evening,water_body,clear,0,0,0,0,0,42,20.98,veterinary,low,1
266,other,trapped,afternoon,water_body,rain,0,1,0,0,0,22,13.81,blue_cross,medium,1
267,dog,trapped,night,forest,fog,0,1,0,0,0,43,24.47,veterinary,medium,1
268,cat,aggressive,afternoon,water_body,clear,0,0,0,0,0,22,15.58,firefighter,low,1
269,other,aggressive,evening,water_body,storm,0,0,0,0,1,60,40.87,wildlife_center,low,1
270,other,trapped,night,forest,rain,0,1,0,0,0,55,48.45,blue_cross,medium,0
271,wildlife,other,afternoon,forest,fog,0,0,0,0,0,40,40.92,firefighter,low,1
272,other,trapped,afternoon,highway,clear,0,1,0,1,0,98,23.35,wildlife_center,critical,0
273,bird,injured,night,water_body,rain,1,0,0,0,0,89,8.13,firefighter,medium,0
274,dog,aggressive,night,highway,fog,0,0,0,1,0,73,25.58,firefighter,medium,1
275,bird,other,morning,urban,rain,0,0,0,0,0,89,33.4,wildlife_center,low,0
276,dog,other,night,forest,fog,0,0,0,0,0,18,1.02,blue_cross,low,1
277,other,other,afternoon,water_body,storm,0,0,0,0,1,55,23.42,wildlife_center,low,1
278,dog,aggressive,morning,forest,fog,0,0,0,0,0,15,6.25,wildlife_center,low,1
279,bird,aggressive,afternoon,highway,fog,0,0,0,1,0,49,24.07,firefighter,medium,1
280,wildlife,endangered,morning,forest,clear,0,0,0,0,0,108,35.68,veterinary,medium,0
281,dog,trapped,afternoon,highway,rain,0,1,0,1,0,75,8.43,firefighter,critical,0
282,cat,aggressive,afternoon,rural,fog,0,0,0,0,0,55,1.95,wildlife_center,low,1
283,wildlife,aggressive,morning,rural,rain,0,0,0,0,0,40,37.74,veterinary,low,1
284,other,trapped,evening,forest,rain,0,1,0,0,0,63,6.14,firefighter,medium,1
285,bird,other,night,highway,fog,0,0,0,1,0,80,6.15,blue_cross,medium,0
286,other,trapped,evening,highway,clear,0,1,0,1,0,91,7.13,veterinary,critical,1
287,dog,trapped,evening,rural,fog,0,1,0,0,0,58,30.02,firefighter,medium,1
288,wildlife,other,afternoon,highway,rain,0,0,0,1,0,67,14.8,wildlife_center,medium,1
289,wildlife,other,morning,forest,clear,0,0,0,0,0,67,7.26,firefighter,low,0
290,other,aggressive,night,water_body,fog,0,0,0,0,0,95,42.07,firefighter,low,1
291,other,injured,afternoon,forest,clear,0,0,0,0,0,26,39.15,firefighter,low,1
292,dog,other,morning,forest,storm,0,0,0,0,1,74,41.22,veterinary,low,0
293,wildlife,other,afternoon,water_body,clear,0,0,0,0,0,99,41.59,wildlife_center,low,1
294,dog,aggressive,evening,forest,clear,0,0,0,0,0,61,43.33,veterinary,low,0
295,cat,trapped,evening,highway,fog,0,1,0,1,0,26,31.0,wildlife_center,critical,0
296,dog,other,evening,highway,storm,0,0,0,1,1,81,27.17,blue_cross,medium,0
297,bird,endangered,evening,highway,clear,0,0,0,1,0,22,48.16,firefighter,critical,0
298,bird,trapped,afternoon,rural,rain,0,1,0,0,0,96,16.44,wildlife_center,medium,0
299,wildlife,aggressive,afternoon,highway,storm,0,0,0,1,1,85,21.0,firefighter,medium,1
300,dog,aggressive,evening,forest,fog,0,0,0,0,0,67,16.7,veterinary,low,0
301,dog,aggressive,evening,urban,fog,0,0,0,0,0,32,48.42,wildlife_center,low,1
302,bird,endangered,evening,highway,rain,0,0,0,1,0,77,42.69,blue_cross,critical,0
303,dog,injured,morning,water_body,clear,0,0,1,0,0,61,23.1,firefighter,medium,1
304,cat,endangered,afternoon,forest,clear,0,0,0,0,0,88,18.34,veterinary,medium,1
305,cat,injured,night,forest,rain,1,0,0,0,0,17,0.55,firefighter,medium,1
306,other,trapped,night,urban,clear,0,1,0,0,0,94,17.51,veterinary,medium,0
307,wildlife,trapped,night,urban,rain,0,1,0,0,0,54,4.92,veterinary,critical,1
308,bird,endangered,afternoon,water_body,rain,0,0,0,0,0,87,49.65,wildlife_center,medium,1
309,other,injured,afternoon,water_body,storm,1,0,0,0,1,24,46.03,firefighter,critical,0
